sent,Given_label,Predicted_label
Just remind me to take 500/- from raj sir,take 500/- from raj sir,from raj sir
Can you remind me at 12:00 pm today to start my studies,start my studies,start my studies
9828562148. Remind me,Not Found,Not Found
Pls give me jogging reminder at 7 pm,give me jogging reminder,Not Found
Thanks sir,Not Found,Not Found
Oh thanks to remember,Not Found,Not Found
Remind me to prepare home tutor profile,prepare home tutor profile,prepare home tutor profile
How to make my work schedule list in one week ago? Kindly give me any sample file in excel if you have.,any sample file,make my work schedule list
One more reminder for security mail n tea coffee for event at 11.30 am tomorow,security mail n tea coffee,for security mail n tea coffee
Can u set a reminder of 10 am,Not Found,set a
Can you set an alarm for me,Not Found,set an alarm
And a reminder for uploading pictures on Google drive on Saturday at 11 am,uploading pictures on Google drive,on Google drive
Remind me to fill government form,fill government form,fill government form
Remind me to tak3 my meds every morning at 9,tak3 my meds,tak3 my meds
Can you remind me tommorow about trignomentry,trignomentry,tommorow about trignomentry
Thanks for all the reminders. They really helped me out.,all the reminders and helped me out,the reminders
Remind me to carry a bottle when i go out at 2.00 pm,carry a bottle when i go out,carry a bottle
How to reset the reminder,Not Found,reset the
Remind me about ferns&petalson6/1/17,ferns&petalson6,me about ferns
Remind me for tatkal train ticket reservation...on 14.12.2016 at 9.00 AM,tatkal train ticket reservation...,me for tatkal train ticket reservation
Set reminder on 8th to take tickets of railway on any time,take tickets of railway on any time,on any time
Remind me at 11,Not Found,Not Found
Thnx for your alarm,Not Found,your alarm
Who reminded me,Not Found,Not Found
Remind me on 17th Dec and 19th December for to choreograph a sequence for Amdocs which is on 20th December.,choreograph a sequence for Amdocs which,is on 20th December
Remind me next monday to plan inspection for nazir bhai class at 8pm,plan inspection for nazir bhai class,for nazir bhai class
I need the support pipeline reminder every friday,Not Found,need the support pipeline
Pl remind me tomorrow take my weeding cards with me.,take my weeding cards with me,take my weeding cards
Pls remind me to ask my gf why her boss shouted at her,ask my gf why her boss shouted,ask my gf
Next reminder,Not Found,Not Found
I need a reminder. Every day. At 2.30 pm and 5.30 pm to message my wife.,message my wife,message my wife
Tuesday remind Mrs manna for ground,Mrs manna for ground,Mrs manna
I want set sm reminder for tomorrow n the day aftr tomorrow,Not Found,set sm
Remind me today at 8:45pm for get dress from ironing,get dress from ironing,for get dress
Set alarm for tuition,Not Found,Set alarm
Want a reminder at 8.20pm,Not Found,Want a
Remind me to select the best T-shirt from my collection,select the best T-shirt,select the best T-shirt
2 pm now meeting today,meeting,Not Found
remind to download MAT admit card on 3rd december 2pm,download MAT admit card,download MAT
Remind me @ 11 30 to buy tissue papers,buy tissue papers,buy tissue papers
I am too much worried about her health,much worried about her health,her health
Remind me at 4 pm about tea,tea,about tea
Could you additionally remind me to pay my mobile bill.on 7th december,pay my mobile bill.on,pay my mobile bill.on
Small help about,Not Found,Small help
Can u remind to get my bathroom cleaned by anil bhaiya every 25th of every month,get my bathroom cleaned,cleaned by anil bhaiya
Can u start your reminder from 8.30am to 5 pm,Not Found,start your
But I want you to call her n wish ..is tht possible?,call her n wish ..is tht possible?,call her n wish ..is tht
Already done...Thanks for the reminder,Not Found,for the
Remind me to go for the purchase of kites at 1:30,go for the purchase of kites,go for the purchase
Call me at 8:30 am,Call me,Not Found
Pls schedule this for tomorrow 1pm..,Not Found,Pls schedule
Now i will have to go and find ur settings tab to get rid of your disturbing notifications every hour!!!!! I would rather uninstall this app.,go and find ur settings tab and get rid of your disturbing notifications and rather uninstall this app,find ur settings tab
"Call hotel moriz, mysore today at 9.30 pm regarding room confirmation","Call hotel moriz, mysore and regarding room confirmation",Call hotel moriz
Remind me at six today 6pm,Not Found,Not Found
"Good morning. ..Thank you, nothing for now","..Thank you, nothing",Good morning
Remind me to issue cheque book on coming monday at 10:30,issue cheque book,issue cheque book
Alarm for 7,Not Found,Not Found
Deepika please set the scheduled time,Not Found,set the scheduled time
Remind me to buy kunda by tomorrow evening,buy kunda,buy kunda
Remind me to go to Dr OP Garg on 29 at 8:30 am,go to Dr OP Garg,Dr OP Garg
Can you please remind me to message Amy ma'am about songs and send email to christ tomorrow at 11 am? And another reminder at 5 pm?,message Amy ma'am about songs and send email to christ and ? And another reminder,message Amy ma'am
Badha reminder bandh kro,bandh kro,Badha bandh kro
Remind me about the Gina festival in Jaipur on 19th January maybe you tell me before the 19th July 17th of January,the Gina festival,me about the Gina festival
Remind me on 5-01-2017 at 11:30 pm to make a caller tune for birthday,make a caller tune for birthday,make a caller tune
I want to be reminded everyday,Not Found,Not Found
I need about bus traveling,bus traveling,need about bus
I want to change the time of reminder,Not Found,change the time
can u remind me to withdraw rupees from atm,withdraw rupees,withdraw rupees
Remind me to ask for my s6edge covers from my sister tomorrow morning around 8.30am,ask for my s6edge covers from my sister,my sister morning
Remind me take headphones from pujan,take headphones from pujan,take headphones
Remind me to bring gift tomorrow at 11:00 AM,bring gift,bring gift
Remind me on 5th dec at 4:30 pm to do web chk in,do web chk,web chk
Project reminder,Not Found,Not Found
U have to just remind me for to do college work classes work etc.,do college work classes work etc,do college work classes
Remind me this week full,Not Found,me this week
Kindly remind me the loan of rupees 2000 given to Mom office colleague RAM SINGH JI,colleague RAM SINGH JI,Mom office colleague RAM SINGH JI
Remind me on 9 pm salad,Not Found,Not Found
Remind me to bring chocolate for gals at 9:30am,bring chocolate for gals,bring chocolate
To go you New Horizon College at 11.30am,go you New Horizon College,go you New Horizon College
Remind me on Thursday to work on plan for Indian Angel Network,work on plan for Indian Angel Network,for Indian Angel Network
Remind on monday deposit money for convocation,deposit money for convocation,on deposit money
After 30 mins reminder,Not Found,Not Found
Yes please mam,Not Found,please mam
Remind me on 9.30 am amd 9.24 am,Not Found,Not Found
Can u plz remind me the same tonight at 9:30 pm ?,Not Found,me the same tonight
tomorrow i want to buy some groceries will you remind me,buy some groceries,buy some groceries
Please do remind,Not Found,Not Found
From 12th December to 17th December set a reminder at 6.00pm that I have to attend online classes,attend online classes,attend online classes
You have to remind me on these days for fasting,remind me on these days for fasting,me on these days
Can u put 6 alarms together in a gap of 10min,alarms together,together in a gap
Again remind me at tomorrow afternoon,Not Found,me at afternoon
Remind me after 5 minutes to beat valiant,beat valiant,Not Found
Hi Pavani.,Hi Pavani,Hi Pavani
Please remind me at 8 am and 9 am in the morning and speak a message to do a aarti booking at vaishno devi,do a aarti booking at vaishno devi,do a aarti booking
I need one more remainder can you set for me,Not Found,more remainder
What if i want you u to remind me everyday of the week,Not Found,of the week
alarm plss mam,Not Found,alarm plss mam
4th jan,Not Found,Not Found
Remind me to take a snapshot of the passbook for address proof at 9 pm,take a snapshot of the passbook for address proof,take a snapshot
Set the second reminder also,Not Found,the second
y arent you calling me,calling me,y arent
Can u give me this reminder regularly,Not Found,Not Found
Can you explain me a little about web check in of flight,web check and flight,about web check
Set reminder for tomorrow 11am,Not Found,Not Found
Plz remind me everyday,Not Found,Not Found
Set a reminder for bus booking on 22nd December and 23rd December,bus booking,Set a
"Thanks, and sorry I called u honey. I thought its a virtual assistant. I was joking.",Not Found,thought its a virtual assistant
Please remind me about sql paper checking around 11am,sql paper checking around 11am,me about sql paper
11:50pm,Not Found,Not Found
Hey need med reminder at 5.30 and 10.30 today,5.30 and 10.30,Not Found
Remember me calling my friend tomorrow morning,calling my friend,calling my friend morning
"Hello, please remind me to place an order for Trims... After one week exactly.",place an order for Trims...,place an order
Remind me at 9:30 am,Not Found,Not Found
It would be a call ?,It would be a call,be a call
Can u ring me thrice ?,Not Found,ring me thrice
CALL SAJI BROKER AT 10AM TODAY,CALL SAJI BROKER,CALL SAJI BROKER AT
Remind me to wish my sister on 6 th January at 11.55 pm,wish my sister,wish my sister
Atit any scheduled for today?,Not Found,scheduled for
Can I get a SMS as reminder,Not Found,get a SMS
From 12 December remind me everyday,Not Found,Not Found
If I set reminder here... How will I be notified?,How will I be notified,Not Found
Same to u yaar,u yaar,u yaar
Remind me at 9:30 a.m go to market and Gate coupons.,go to market and Gate coupons,Gate coupons
And also set an alarm for 3.30 everyday except monday and tuesday,Not Found,set an alarm
Yaay ..thanks..I'm glad u have reminded me today without reminding u to remind me!!,remind me!!,'m glad u
Remind me on 12th jan for web Checkin,web Checkin,for web Checkin
Why are you calling me.,Not Found,Not Found
Unsubscribe this alarm,Not Found,Unsubscribe this alarm
Remind me at 4.30 about Amity,Not Found,about Amity
remind me to collect metro card from abhishek today morning at 8.30 am,collect metro card from abhishek,collect metro card
Please remind me to arrange for Humsafar train maintenance and fuelling on every Thursday at 15:30 hrs,arrange for Humsafar train maintenance and fuelling,arrange for Humsafar train maintenance
"Shall we go for a movie, varsha :p",go for a movie,go for a movie
How will you remind me ??,How,Not Found
Can you remind me to talk to mom at 2:10,talk to mom,Not Found
Remind me to dinner at 10 o'clock,dinner,Not Found
Remind me to get doc.'s appointment at 1:00pm tomo,get doc.'s appointment,Not Found
Remind me to give papers for hyd house electricity name conversion,give papers for hyd house electricity name conversion,for hyd house electricity name conversion
Remind me to eat healthy,eat healthy,Not Found
I want to ask qus about my education . Whom should i ask .. please tell me,ask qus about my education,ask qus
Please remind me access snapdeal app tomorrow,access snapdeal app,me access
Can u please set reminder for premium payment of TATA AIA on 5 December 2016,premium payment of TATA AIA,for premium payment
Laundry reminder today at 17.30 hrs,Laundry,Not Found
I want you to remind me at 8 pm today,Not Found,Not Found
I want call on 919168886110,Not Found,want call
Thanks.pls remind me once in 2 hours,Not Found,Not Found
Hey I want remind,Not Found,Not Found
Also set same reminder for 29 December for 7 pm,Not Found,set same
Remind me today at 8:10pm,Not Found,Not Found
I have to write SOP.pleade keep reminding me that,write SOP.pleade keep reminding me,write SOP.pleade
I supposed that you were calling me but its a robot,Not Found,its a robot
Set alarm,Not Found,Set alarm
I want to know about some good n cheap mehendi designers,some good n cheap mehendi designers,know about some good n
Set a reminder at 11.59,Not Found,Set a
Remind me tomorrow morning 8.45Am for to mail RR format to Joseph,mail RR format to Joseph,mail RR format
"Remainder for 25th january 2017 at 11:50 PM, Raju's Birthday",Raju's Birthday,Not Found
Remind me to buy birthday card at 12 10 pm today,buy birthday card,buy birthday card
Is it you who will be reminding me always or who ever is online will do so?,who will be reminding me always or who ever and online will do so,Not Found
Call me for gym time at 4:05 pm,Call me for gym time,Call me for gym time
please schedule till 2nd jan,Not Found,please schedule
Mahesh i need regular reminders for alot of my business stuff,regular reminders for alot of my business stuff,need regular reminders
Please remind to book tickets for dear zindagi,book tickets for dear zindagi,for dear zindagi
I want to keep reminder,keep reminder,Not Found
Remind me for calling the licence agent on 9nov. 9am,calling the licence agent,calling the licence agent
Can u just set me a reminder for tomorrow,Not Found,set me a
N one thing Remind me for studying today at7am,studying,studying at7am
Its ok ...hey continue this schedule from saturaday plsss,Not Found,continue this schedule
2643 bus remind me 6.40 pm today,Not Found,Not Found
I hv already asked yesterday to set it nd it's already done,nd it's already done,Not Found
Wen u I'll remind me,Not Found,Not Found
Can u pls remind me to finish my study at 11 am today,finish my study,finish my study
Please check after 5 mins about it...,it...,Please check
Remind me on Saturday,Not Found,me on
Instead of giving a call please just send a message,Instead of giving a call,giving a call please
Can I set any reminder for till date 30.11.16,Not Found,for till date
Can you set a reminder everyday?,Not Found,set a everyday
I call 9629656931 number,Not Found,Not Found
Remind me again at 11:30 plz!,Not Found,Not Found
Remind me every hour except night 10 pm to morning 7 am,Not Found,me every hour
By,Not Found,Not Found
Joging remainder 6:10 pm daily,Not Found,Joging remainder
And cancle my old reminder of night,Not Found,cancle my old
Remind me till 9.00pm,Not Found,Not Found
Hey i want to cancle my wakeup alarm,cancle my wakeup alarm,cancle my wakeup alarm
How can I know the alarm sound,Not Found,know the alarm sound
Remind me tomorrow same time,Not Found,same time
What about Sunday,Not Found,Not Found
Wished him thanks for reminding,Not Found,Wished him thanks
Please remaind me to buy dandia sticks 9pm today,buy dandia sticks,buy dandia sticks
Remind me of sreeja every 10 th hour,sreeja,me of sreeja
Can you remind me about share market,share market,me about share market
Pls remind me to take my calcium,take my calcium,take my calcium
Hey remind me to take copy from Divyanshu at 4:30pm today.,take copy from Divyanshu,take copy
Reminder for D3 on 6th Jan 9 PM,D3,for D3
Remind me for the question 0aper,the question 0aper,me for the question
remind me to union bank today 09:30am for confirmation of Bike loan letter,union bank and confirmation of Bike loan letter,of Bike loan letter
OK set milk reminder at 5.58 pm everyday..That's it for now..Thank u,Thank u,'s it for now..Thank u
Thankz for reminding it,Not Found,Not Found
Can u remind me at 10.45 to file tds,file tds,file tds
Alarm on my mobile or something else,Alarm and mobile or something else,my mobile
Can you let me know of the alarm for tomorrow?,of the alarm,know of the alarm
Will u get a call?,get a call,get a call
Remind me to grab things from the store at 1pm today.,grab things from the store,from the store
Call me at 4:30pm,Call me,Not Found
Remind me to check for sample papers,check for sample papers,check for sample papers
Remind me that i have to study for exams,study for exams,me that i
Remind me at 2:48 pm today,Not Found,Not Found
Reminder me every day at 9:30 To brush my teeth,brush my teeth,me every day
This reminder is to enquire for swimming classes on Sunday,enquire for swimming classes,swimming classes
Or u can message me the reminder,Not Found,message me the
Call ajay morrow morning 10.11.16 @ 11,Not Found,Call ajay morrow morning
Pls remind me on 15jan,Not Found,Not Found
OK. Thank u. I called her n spoke,her n spoke,called her n
25/12/2016,Not Found,Not Found
Remind me to create a profile on dubai drydock at 10.00 pm today,create a profile on dubai drydock,create a profile
I am getting call,getting call,getting call
Please remind me on 30th morning 9am to book tatkal train tickets in Haptik,book tatkal train tickets,book tatkal
Ohk,Not Found,Not Found
Hey can set my alarm for every Sunday with same time,Not Found,set my alarm
unset the reminder,Not Found,unset the
Please schedule a reminder for me on 10 th Jan 2017 for credit card payment,credit card payment,for credit card payment
"Please set the other alarms as well, as mention above",Not Found,set the other alarms
How can I remove my previous reminder ?,Not Found,remove my previous
I have to catch train by 2.30 at Thane by tomorrow afternoon.. kindly do remind me by 1 o clock,catch train by 2.30 and do remind me by 1 o clock,catch train
Remind me on Monday at 7.30 for affiliate marketing session,affiliate marketing session,for affiliate marketing session
Alarm?,Alarm,Not Found
Call Pranay on Monday at 11 am,Call Pranay,Call Pranay
"Put a reminder saying St Joseph central, 12 Dec 10 am",Not Found,saying St Joseph
Thankyou for reminding. Me .....,reminding. Me .....,Not Found
Remember me about swathy bday tday night at 10pm,swathy bday,Remember me about swathy bday
Hey can u give me reminder at 8:30pm today!?,Not Found,Not Found
remind me to add cost of plastic mat in drawers,add cost of plastic mat in drawers,of plastic mat
3 alarm set in gap of 5 mins,Not Found,set in gap
Remind me of asking for exchange,asking for exchange,asking for exchange
Please arrange for the reminder..,Not Found,for the reminder..
Hi shraddha Just want you to remind me of my meeting with Manish from Priti-Manish On Monday the 26-12-2016 @11am,meeting with Manish,Hi shraddha Just
I need to buy eggs remind me at 8:30,buy eggs remind,buy eggs
Does the internet need to stay connected for the reminder to work?,work,Does the internet need
Remind me to web check-in on 28 December 10:40 am,web check-in,web check-in
Please set up a reminder,Not Found,Not Found
10:45 am,Not Found,Not Found
Thx for reminding me about checkup of body.,checkup of body,reminding me about checkup
Set dinner time,Not Found,Set dinner time
Reminder is to book the ticket,book the ticket,the ticket
I want to change the time of alarm,change the time of alarm,change the time
How will u remind me?,How,Not Found
1 more reminder plz,Not Found,more plz
Remind me to do the eco project at 3.00 pm,do the eco project,do the eco project
Remind me to meet Chirag today evening 4:00PM At Degree college,meet Chirag and Degree college,At Degree college
Ok fine,Not Found,Ok fine
Can you tell me about today horoscope,today horoscope,tell me about horoscope
In about 10 mins,Not Found,Not Found
Reminder on 11:35 am,Not Found,Not Found
please schedule tablet reminder for me on every sunday at 11AM,Not Found,please schedule tablet
Sure pls set remember,Not Found,Sure pls
End all reminders.,End all reminders,all reminders
Set remainder for my mom birthday on 12 dec please,my mom birthday,my mom birthday
Can you remind me this birthday every year,Not Found,me this birthday
Hey set a reminder for 5:30 pm on sun 13 November for dance practice,dance practice,for dance practice
Remind it tomorrow,Not Found,Not Found
Please remind me tomorrow morning at 9 to keep hard drive in bag.,keep hard drive,keep hard drive
Remind me to mail for gfx in an hour,mail for gfx,mail for gfx
Is there any charge for daily remainder.,there any charge,for daily remainder
Remind me to take my register from warden mam,take my register,take my register
It is very important to me so please make call before the time,Not Found,before the time
Remind me for a appointment today at 3 pm,a appointment,me for a appointment
Isnt this server based reminder?,Not Found,this server
That reminder is for lunch,lunch,is for lunch
Remaind me to fill ink in pen today 9:30pm,fill ink in pen,ink in pen
Reminder for walking everyday at 05:00 PM.,walking,walking everyday
Reminders for par days,Not Found,for par days
"dvd,fan,ticket book,garden,call rekha,iron,recharge,","ticket book and call rekha,iron,recharge,",ticket book
I want u to reminder me from 10 pm to 8 am,Not Found,Not Found
Thanks for the reminder. It really helped me to reach my office on time,helped me to reach my office,reach my office
Now once call me,Not Found,Not Found
next Wednesday,Not Found,Not Found
"Hey,can you remind me Bathing time ?",Not Found,Bathing time
Remind me to press today at 10pm,press,Not Found
Remind me to start Studying at 4,start Studying,Not Found
Remind me today 11.30 am for attached adhar card in idbi bank,attached adhar card in idbi bank,for attached adhar card
U sending me notification after half an hour i schduled to remind after after 1 hr.,U sending me notification,sending me notification
Please set a reminder for fruits,fruits,set a
I dnt remember last time...there wer some people who called me ..as they come home to pick,last time...there wer some people who called me,remember last time
Tomorrow by 10.30 I have an appointment can you please remind me on time,Not Found,have an appointment
Sorry set it at 10.50 AM,Not Found,Not Found
wanna set reminders,Not Found,set reminders
Remind me to book my tickets on 27 november,book my tickets,my tickets
I have to book a movie ticket from Paytm with referral code please remind me in next 3 days,book a movie ticket,with referral code please
Please remind me that I need a signature of my dad today On some documents By 8:30 pm,I need a signature of my dad today On some documents,need a signature
Can you please remind me for my morning exercise daily,my morning exercise,my morning exercise daily
Can u set a reminder for 11:59 pm today,Not Found,set a
Please set the reminder to one hour,Not Found,set the
2 call pravin dental at 4.15pm today,call pravin dental,call pravin dental
i need reminder,Not Found,Not Found
Remind me about xamarin classes tomorrow at 9 AM,xamarin classes,me about xamarin classes
Remind me to sleep,sleep,Not Found
Remind me to upload record problem 8 at around 7 pm,upload record problem 8,upload record problem
At 1pm today remind me to take the print out,take the print out,take the print
Remind me to take the cheque at 9am tomorrow.,take the cheque,take the cheque
I want to deleate that reminder,Not Found,deleate that
Set reminder at 7,Not Found,Not Found
I will tell u when I'll need it,Not Found,Not Found
Sorry pls call me on morning 6.30 am,Not Found,Sorry pls call
I dnt want to unfollow this reminder,Not Found,unfollow this
How will you send the reminder?,How,send the
I want to change that reminder,Not Found,change that
Everyday remind me like this.,Not Found,Not Found
24th November 11am and 11:30am Call the person to ask reporting time and place,ask reporting time,ask reporting time
Thanks and j have set so many alaems so that if i miss one icanget another,miss one icanget another,set so many alaems
remind me 8:00 am,Not Found,Not Found
Set reminder for breakfast,breakfast,for breakfast
Canel my alarm at 2am,Canel my alarm,my alarm
Thanks a lot for remainder,Not Found,a lot
Can you remind me about my girlfriends monthly cycle. It started today.,my girlfriends monthly cycle. It started,my girlfriends
Can you set a reminder,Not Found,set a
Remind of some more this,some more this,Not Found
Chenged the earlier reminder of 3rd feb for birthday,birthday,Chenged the earlier
set up a general reminder,Not Found,a general
Please Remind me to book a bus by 11AM today,book a bus,a bus
I need another alarm at 630am,another alarm,need another alarm
Reminder on 19 th,Not Found,Not Found
Hey! Thanks for the reminder. :),Not Found,for the
Remind me to research about Getnatty.com,research about Getnatty.com,about Getnatty.com
Can u make me remember to go gym,go gym,go gym
need to fix an alarm for meeting on monday 3 30,fix an alarm and meeting,fix an alarm
I just got a msg about how much I can withdraw etc,how much I can withdraw etc,got a msg
Can u set an alarm for 7.30?,Not Found,set an alarm
Reminder me to search colleges for pallavi,search colleges for pallavi,search colleges
Can I be reminded at 9.00am?,Not Found,Not Found
Ya remind me at 11 that I have to do my abs workout,do my abs workout,do my abs
U said u will call,u will call,Not Found
Please give reminder after 3 hour,Not Found,Not Found
Can you remind me to pay the rent on 19th and 20th of every month,pay the rent,pay the rent
Remind me to wish Bavagaru on 24th of this month for his day,wish Bavagaru and this month for his day,of this month
Yes dear I called him,Not Found,Not Found
I called him,Not Found,Not Found
I need a remainder,Not Found,need a remainder
I am busy,Not Found,Not Found
Can I put this alarm clock for every day,Not Found,put this alarm clock
Remind me to delete note tomm by 10:00,delete note tomm by 10:00,delete note tomm
Tq fr remember me,Not Found,Tq fr
Its my daily remainder,Not Found,my daily remainder
Tell me about the status of rupee to world,the status of rupee to world,Tell me about the status
You will remind me daily or only today,Not Found,Not Found
Please remind me 5 min before,Not Found,Not Found
Babu needs to bring Fevicol colours and crayon on tuesday. Remind me on Monday 9 pm,bring Fevicol colours and crayon,bring Fevicol colours
I need a reminder of somone,Not Found,need a
REMIND ME ABOUt BREXIT... AT 3 PM TODAY,BREXIT...,ME ABOUt BREXIT
hi. please remind me that Maya is coming on 2 December. Please remind me on 26 nov (saturday) at 12 pm,Maya is coming,me that Maya
"Reminder to"" take wallet and home key before leaving """,take wallet and home key,take wallet
Thanx for reminder swapnil,Not Found,for swapnil
Everyday u will remind me?,Not Found,Everyday u
Thanku fr reminding the whole day :),Not Found,reminding the whole day
Dimpi house pooja on 5th Jan - lunch - pls remind on 4th evening.,Dimpi house pooja and lunch - pls remind,Dimpi house pooja
Remind me to make a c v at 7 30 pm,make a c v,make a c v
I have to go home at 7p.m. Remember me,go home,go home
Hi set one more reminder,Not Found,Not Found
Call Asim khan on Sunday at 3. PM,Call Asim khan,Call Asim khan
Thank you for reminding me its enough,Not Found,Not Found
Yes remind me daily,Not Found,Not Found
remind me to study,study,Not Found
Set an alarm of 8:15am dated 29 dec,Not Found,an alarm
are u sure about it?,Not Found,Not Found
Can I edit the reminder?,Not Found,edit the
Remind a task,Not Found,a task
Want to know if details about Tamil Professors in Salem,know if details about Tamil Professors,know if details
Now I can remind stuff on my own,stuff,Not Found
Remind nagman catalogue,Not Found,nagman catalogue
Remind me once @ 10.30 i have to visit courier office,visit courier office,visit courier office
Reminder for coming Saturday.... Rath yatra,coming Saturday.... Rath yatra,Rath yatra
I want to edit my to do,Not Found,Not Found
I want review about gems b school,gems b school,want review
Date 28th this month ratan remainder me,Not Found,this month ratan remainder
Can you remind me to add roles in the morning at 8 am,add roles,in the morning
Remind me about it 1 day before,Not Found,Not Found
Late remainder,Not Found,Late remainder
Hi yes sure tq,Not Found,yes sure tq
Remind me at12pm to text Akshay Nambiar,text Akshay Nambiar,text Akshay Nambiar
Same reminder for Tomorrow!,Not Found,Not Found
i dond need the calls today,Not Found,need the calls
Remind me in 5 min,Not Found,Not Found
Will the call be automated ?,Not Found,the call
Plz remind me to to go in shree jalaram medical at tomorrow 10.30 am,go in shree jalaram medical,go in shree jalaram
Sure but i m bussy right now,Not Found,Not Found
Remind me to exercise at 8:00 am every day,exercise,every day
Please deactivate this reminder for me,Not Found,deactivate this
Reminder name,Not Found,Not Found
Can u send sms as well of the reminder,Not Found,well of the
Remind me to put imp doc in my bag,put imp doc in my bag,put imp doc
Another reminder at 6:30am,Another reminder,Not Found
Actually I already created this reminder,Not Found,created this
Remind me to get my bag @ 7 pm today,get my bag,get my bag
"Ok, thanks for reminding..",Not Found,for reminding..
Tomrrow remind me to go out at 5 pm for some work,go out and some work,for some work
Reminder at 4 for management hour,Not Found,for management hour
Add another reminder,another reminder,Not Found
Can I have a reminder set to purchase a shoe polish .,purchase a shoe polish,purchase a shoe polish
Let that alarm be discontinued for now,Not Found,Let that alarm
I wanna know about this job what you do in haptik ?,know about this job what you do in haptik,know about this job
Hey remind me that our regional manager's visit o. 11th jan,Not Found,our regional manager
Annu kalyanam kazhichilla..... Remind me at 7 30 pm,Annu kalyanam kazhichilla..... Remind me,Annu kalyanam kazhichilla
Remind me at 5.10 today about the holiday,Not Found,about the holiday
Unrill i woke up.call me,Not Found,Not Found
Need a reminder at 7 :15 today,Not Found,Need a
What was the reminder?,Not Found,was the
Which remainder are you giving me ?,giving me,Which remainder
Time is 12:02pm lately comes reminder,comes reminder,Not Found
Please surrender of all my alarm requests.,my alarm requests,my alarm requests
Remind me of Deybakshi ... At 6 30 pm and 10 am 2morrow,Deybakshi ...,me of Deybakshi
18 December lubna birthday,Not Found,December lubna birthday
I need to set one to do list for tomorrow,Not Found,do list
You can schedule it from tomorrow.,Not Found,schedule it from
Thank you I remember now,Not Found,Not Found
My reminder,Not Found,Not Found
Plz remind it for costing,costing,Not Found
Fr the reminder,Not Found,Fr the
Can u send me .. birthday wish list.. reminders.,send me .. birthday wish list.. reminders,send me .. birthday wish list.. reminders
I want you to remind me about something,something,me about something
U can call me ammu,Not Found,Not Found
Please create a reminder,Not Found,create a
Reminder to collect my passbook from bank tomorrow 9 am,collect my passbook from bank,collect my passbook
Thanks for the reminder :),Not Found,for the
Can call me,Not Found,Not Found
I have to set a reminder,Not Found,set a
Yes you can schedule it for everyday but starting from the 6th. I'll be at a conference till the 5th.,Not Found,be at a conference till
Hey shud i increase the alarm volume??,Hey shud i increase,increase the alarm volume
Can I know what topic of reminder u set and to which number.,which number,of u
Hello shraddha! Can you tell me how many remainders have been saved for me tomorrow?,how many remainders have been saved for me,Hello shraddha
Can you remind someone on behalf of me ??,Not Found,on behalf
